account,year,neighborhood_code,neighborhood,neighborhood_group,map_facet,street_address,zipcode,market_value,market_value_less_new_construction,prior_market_value,new_construction_value,change_in_market_value,pct_change_in_market_value,pct_change_in_market_less_new_construction,new_construction_pct_total_prior_market_value,new_construction_pct_change_in_market_value,next_market_value,next_market_value_pct_change
931920000058,2022,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10027 WICKERSHAM LN,77042,652735.0,477906.0,414458.0,174829.0,238277.0,0.5749122950938335,0.1530866818833272,0.42182561321050627,0.7337216768718761,715818.0,0.0966441205083226
931930000073,2022,7947.0,BRIARGROVE PARK SEC 1,1117,4956B,10034 WICKERSHAM LN,77042,662002.0,513605.0,481146.0,148397.0,180856.0,0.37588590573339475,0.06746185149621953,0.3084240542371754,0.8205257221214668,705486.0,0.06568560215830166
931980000244,2022,7947.0,BRIARGROVE PARK SEC 1,1117,4956B,10019 OLYMPIA DR,77042,659910.0,550633.0,501501.0,109277.0,158409.0,0.31586975898353153,0.09796989437707992,0.21789986460645144,0.6898408550019254,702036.0,0.06383597763331372
931980000252,2022,7947.0,BRIARGROVE PARK SEC 1,1117,4956B,1903 BRIARPARK DR,77042,950000.0,390938.0,380000.0,559062.0,570000.0,1.5,0.028784210526315857,1.4712157894736841,0.9808105263157895,,
932100000533,2022,7946.0,BRIARGROVE PARK SEC 1,1117,4956B,10018 LONGMONT DR,77042,663879.0,410805.0,410805.0,253074.0,253074.0,0.6160441085186403,0.0,0.6160441085186402,1.0,1073233.0,0.6166093520054106
932100000549,2022,7946.0,BRIARGROVE PARK SEC 1,1117,4957D,10015 VALLEY FORGE DR,77042,604893.0,424010.0,410153.0,180883.0,194740.0,0.4747984288789793,0.03378495341982135,0.4410134754591579,0.9288435863202218,1084691.0,0.793194829498771
932140000673,2022,7946.0,BRIARGROVE PARK SEC 1,1117,4957D,10003 HOLLY SPRINGS DR,77042,847138.0,632839.0,629853.0,214299.0,217285.0,0.3449773201048498,0.004740788723718081,0.3402365313811318,0.9862576800055227,889442.0,0.049937554448035604
932180000766,2022,7946.0,BRIARGROVE PARK SEC 1,1117,4957D,10030 GREEN TREE RD,77042,946687.0,460620.0,368496.0,486067.0,578191.0,1.569056380530589,0.25,1.3190563805305893,0.840668567999156,1315375.0,0.3894507899654267
932180000769,2022,7946.0,BRIARGROVE PARK SEC 1,1117,4957D,10110 GREEN TREE RD,77042,1345000.0,565965.0,528234.0,779035.0,816766.0,1.546220046418822,0.0714285714285714,1.4747914749902504,0.9538043944042724,1674576.0,0.2450379182156135
932180000789,2022,7946.0,BRIARGROVE PARK SEC 1,1117,4957D,10003 BAYOU GLEN RD,77042,950000.0,533250.0,658890.0,416750.0,291110.0,0.44181881649440724,-0.19068433274142882,0.6325031492358361,1.4315894335474564,1241956.0,0.30732210526315784
932190000793,2022,7946.0,BRIARGROVE PARK SEC 1,1117,4957D,10118 SHADY RIVER DR,77042,988000.0,643157.0,681110.0,344843.0,306890.0,0.4505733288308791,-0.05572227687157727,0.5062956057024562,1.1236697187917495,1179805.0,0.1941346153846153
932200000821,2022,7946.0,BRIARGROVE PARK SEC 1,1117,4957D,10019 BRIAR DR,77042,841646.0,564457.0,437427.0,277189.0,404219.0,0.9240833327618094,0.290402741486008,0.6336805912758015,0.6857396609263791,868062.0,0.031386117203670016
932220000896,2022,7946.0,BRIARGROVE PARK SEC 1,1117,4957C,10302 SHADY RIVER DR,77042,1145052.0,799273.0,794788.0,345779.0,350264.0,0.4407011681102382,0.005643014237759036,0.4350581538724792,0.9871953726332138,1207727.0,0.05473550546176065
932250000954,2022,7946.0,BRIARGROVE PARK SEC 1,1117,4957D,10219 SHADY RIVER DR,77042,814091.0,484403.0,657000.0,329688.0,157091.0,0.23910350076103493,-0.26270471841704723,0.5018082191780822,2.0987071188037505,1410472.0,0.732572894185048
932270000018,2022,7946.0,BRIARGROVE PARK SEC 1,1117,4957D,10227 PINE FOREST RD,77042,1009103.0,449069.0,597757.0,560034.0,411346.0,0.6881491977509255,-0.24874321839811164,0.9368924161490372,1.361466988860959,1069834.0,0.060183152760421965
932280000068,2022,7946.0,BRIARGROVE PARK SEC 1,1117,4957C,10318 HOLLY SPRINGS DR,77042,1025928.0,785392.0,846332.0,240536.0,179596.0,0.21220513935429586,-0.07200483970829419,0.2842099790625901,1.3393171340118935,1146976.0,0.11798878673747093
982410000005,2022,7946.0,BRIARGROVE PARK SEC 3,1117,4957D,10102 LYNBROOK HOLLOW ST,77042,795866.0,666729.0,638717.0,129137.0,157149.0,0.24603854289145266,0.0438566689159674,0.20218187397548523,0.8217487861838129,818370.0,0.02827611683373843
1034840000421,2022,7946.0,BRIARGROVE PARK SEC 4,1117,4956B,10111 CEDAR CREEK DR,77042,916572.0,693724.0,658831.0,222848.0,257741.0,0.3912095818199204,0.052961988734592014,0.3382475930853284,0.8646199091335875,950734.0,0.03727148549159254
1075870001108,2022,7946.0,BRIARGROVE PARK SEC 6,1117,4956B,10219 CEDAR CREEK DR,77042,738300.0,573621.0,550396.0,164679.0,187904.0,0.3413978299260896,0.04219689096577728,0.2992009389603122,0.8763996508855586,762210.0,0.032385209264526704
